Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","4.47","279.86","32,605,362.00","9,124,936,609.32","9,124,936,609.32","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","4.47","155.53","58,605,102.00","9,114,851,514.06","9,114,851,514.06","Information Technology","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","2.77","1,769.21","3,189,349.00","5,642,628,144.29","5,642,628,144.29","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.79","197.92","18,464,989.00","3,654,590,622.88","3,654,590,622.88","Communication","B7TL820","US30303M1027","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.67","226.85","15,050,476.00","3,414,200,480.60","3,414,200,480.60","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.65","137.34","24,541,958.00","3,370,592,511.72","3,370,592,511.72","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.55","1,361.17","2,319,315.00","3,156,981,998.55","3,156,981,998.55","Communication","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.53","1,360.70","2,299,062.00","3,128,333,663.40","3,128,333,663.40","Communication","BYVY8G0","US02079K3059","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.41","141.79","20,256,706.00","2,872,198,343.74","2,872,198,343.74","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.21","186.24","13,255,182.00","2,468,645,095.68","2,468,645,095.68","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.18","125.56","19,208,773.00","2,411,853,537.88","2,411,853,537.88","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.11","70.00","32,475,508.00","2,273,285,560.00","2,273,285,560.00","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.09","34.70","64,300,558.00","2,231,229,362.60","2,231,229,362.60","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.06","38.59","56,084,228.00","2,164,290,358.52","2,164,290,358.52","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.04","292.03","7,273,819.00","2,124,173,362.57","2,124,173,362.57","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","1.01","148.46","13,826,381.00","2,052,664,523.26","2,052,664,523.26","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.00","296.96","6,852,334.00","2,034,869,104.64","2,034,869,104.64","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.96","57.70","34,002,262.00","1,961,930,517.40","1,961,930,517.40","Information Technology","2463247","US4581401001","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.95","61.23","31,745,550.00","1,943,780,026.50","1,943,780,026.50","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.89","215.53","8,405,853.00","1,811,713,497.09","1,811,713,497.09","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.86","89.29","19,652,054.00","1,754,731,901.66","1,754,731,901.66","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.85","119.36","14,571,136.00","1,739,210,792.96","1,739,210,792.96","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.82","54.22","30,775,051.00","1,668,623,265.22","1,668,623,265.22","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.81","39.14","42,453,166.00","1,661,616,917.24","1,661,616,917.24","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.79","54.42","29,538,213.00","1,607,469,551.46","1,607,469,551.46","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.74","43.53","34,812,218.00","1,515,375,849.54","1,515,375,849.54","Communication","2044545","US20030N1019","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity","0.73","45.98","32,584,499.00","1,498,235,264.02","1,498,235,264.02","Information Technology","2198163","US17275R1023","NASDAQ"
"PEP","PEPSICO INC","Equity","0.72","137.06","10,731,611.00","1,470,874,603.66","1,470,874,603.66","Consumer Staples","2681511","US7134481081","NASDAQ"
"BA","BOEING","Equity","0.66","327.00","4,103,066.00","1,341,702,582.00","1,341,702,582.00","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.65","76.91","17,339,264.00","1,333,562,794.24","1,333,562,794.24","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","0.64","120.54","10,915,508.00","1,315,755,334.32","1,315,755,334.32","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
