Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.76","255.45","1,559,966.00","398,493,314.70","398,493,314.70","Information Technology","2989356","US9892071054","NASDAQ"
"STE","STERIS","Equity","0.70","150.75","2,441,216.00","368,013,312.00","368,013,312.00","Health Care","BFY8C75","IE00BFY8C754","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.69","347.21","1,048,672.00","364,109,405.12","364,109,405.12","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.66","292.15","1,188,595.00","347,248,029.25","347,248,029.25","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.64","68.32","4,898,916.00","334,693,941.12","334,693,941.12","Information Technology","2884183","US8807701029","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.63","796.29","416,288.00","331,485,971.52","331,485,971.52","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"TYL","TYLER TECHNOLOGIES INC","Equity","0.61","289.95","1,112,206.00","322,484,129.70","322,484,129.70","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.60","147.25","2,125,912.00","313,040,542.00","313,040,542.00","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"FICO","FAIR ISAAC CORP","Equity","0.57","362.28","832,993.00","301,776,704.04","301,776,704.04","Information Technology","2330299","US3032501047","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.57","271.60","1,102,781.00","299,515,319.60","299,515,319.60","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.57","165.22","1,809,166.00","298,910,406.52","298,910,406.52","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.56","105.63","2,791,169.00","294,831,181.47","294,831,181.47","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.56","40.41","7,258,175.00","293,302,851.75","293,302,851.75","Information Technology","2903958","US8962391004","NASDAQ"
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Equity","0.55","20.13","14,306,292.00","287,985,657.96","287,985,657.96","Real Estate","B0JL5L9","US58463J3041","New York Stock Exchange Inc."
"WTR","AQUA AMERICA INC","Equity","0.54","45.56","6,220,054.00","283,385,660.24","283,385,660.24","Utilities","2685234","US03836W1036","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.54","75.26","3,737,933.00","281,316,837.58","281,316,837.58","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.52","55.58","4,919,527.00","273,402,713.03","273,402,713.03","Information Technology","2208288","US1924221039","NASDAQ"
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.51","59.50","4,548,014.00","270,606,833.00","270,606,833.00","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.51","44.50","6,023,544.00","268,047,708.00","268,047,708.00","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.50","258.00","1,015,860.00","262,091,880.00","262,091,880.00","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.50","38.98","6,698,041.00","261,089,638.18","261,089,638.18","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"CSL","CARLISLE COMPANIES INC","Equity","0.50","159.91","1,631,744.00","260,932,183.04","260,932,183.04","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.49","52.11","4,947,659.00","257,822,510.49","257,822,510.49","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.49","41.15","6,242,453.00","256,876,940.95","256,876,940.95","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"WEX","WEX INC","Equity","0.49","204.89","1,247,461.00","255,592,284.29","255,592,284.29","Information Technology","B8383P2","US96208T1043","New York Stock Exchange Inc."
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.48","63.56","4,008,777.00","254,797,866.12","254,797,866.12","Communication","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.48","171.22","1,485,187.00","254,293,718.14","254,293,718.14","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.48","43.85","5,770,338.00","253,029,321.30","253,029,321.30","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.48","197.69","1,273,030.00","251,665,300.70","251,665,300.70","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"CY","CYPRESS SEMICONDUCTOR CORP","Equity","0.47","23.38","10,645,989.00","248,903,222.82","248,903,222.82","Information Technology","2244549","US2328061096","NASDAQ"
"GGG","GRACO INC","Equity","0.47","51.29","4,808,376.00","246,621,605.04","246,621,605.04","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.47","79.90","3,072,943.00","245,528,145.70","245,528,145.70","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"NDSN","NORDSON CORP","Equity","0.46","164.81","1,474,927.00","243,082,718.87","243,082,718.87","Industrials","2641838","US6556631025","NASDAQ"
"MOH","MOLINA HEALTHCARE INC","Equity","0.46","134.21","1,807,730.00","242,615,443.30","242,615,443.30","Health Care","2212706","US60855R1005","New York Stock Exchange Inc."
"OLED","UNIVERSAL DISPLAY CORP","Equity","0.46","198.24","1,222,131.00","242,275,249.44","242,275,249.44","Information Technology","2277880","US91347P1057","NASDAQ"
"SEIC","SEI INVESTMENTS","Equity","0.46","66.12","3,656,914.00","241,795,153.68","241,795,153.68","Financials","2793610","US7841171033","NASDAQ"
"TECH","BIO TECHNE CORP","Equity","0.46","218.87","1,097,246.00","240,154,232.02","240,154,232.02","Health Care","BSHZ3Q0","US09073M1045","NASDAQ"
"POOL","POOL CORP","Equity","0.46","208.32","1,150,803.00","239,735,280.96","239,735,280.96","Consumer Discretionary","2781585","US73278L1052","NASDAQ"
"SCI","SERVICE","Equity","0.46","45.59","5,256,799.00","239,657,466.41","239,657,466.41","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.45","110.83","2,151,939.00","238,499,399.37","238,499,399.37","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"HUBB","HUBBELL INC","Equity","0.44","147.38","1,568,409.00","231,152,118.42","231,152,118.42","Industrials","BDFG6S3","US4435106079","New York Stock Exchange Inc."
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.43","118.87","1,921,421.00","228,399,314.27","228,399,314.27","Materials","2729068","US7595091023","New York Stock Exchange Inc."
"BIO","BIO RAD LABORATORIES INC CLASS A","Equity","0.43","366.89","619,577.00","227,316,605.53","227,316,605.53","Health Care","2098508","US0905722072","New York Stock Exchange Inc."
"CTLT","CATALENT INC","Equity","0.43","53.11","4,209,327.00","223,557,356.97","223,557,356.97","Health Care","BP96PQ4","US1488061029","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.42","74.38","2,988,172.00","222,260,233.36","222,260,233.36","Information Technology","B95N910","US69370C1009","NASDAQ"
"MASI","MASIMO CORP","Equity","0.42","157.06","1,414,215.00","222,116,607.90","222,116,607.90","Health Care","B1YWR63","US5747951003","NASDAQ"
"CABO","CABLE ONE INC","Equity","0.42","1,516.28","144,746.00","219,475,464.88","219,475,464.88","Communication","BZ07DS4","US12685J1051","New York Stock Exchange Inc."
"XPO","XPO LOGISTICS INC","Equity","0.42","82.53","2,657,235.00","219,301,604.55","219,301,604.55","Industrials","B6Z1355","US9837931008","New York Stock Exchange Inc."
"KRC","KILROY REALTY REIT CORP","Equity","0.42","81.84","2,677,801.00","219,151,233.84","219,151,233.84","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"RGLD","ROYAL GOLD INC","Equity","0.41","114.66","1,889,854.00","216,690,659.64","216,690,659.64","Materials","2755706","US7802871084","NASDAQ"
"STLD","STEEL DYNAMICS INC","Equity","0.41","33.97","6,330,622.00","215,051,229.34","215,051,229.34","Materials","2849472","US8581191009","NASDAQ"
"SBNY","SIGNATURE BANK","Equity","0.41","135.75","1,577,748.00","214,179,291.00","214,179,291.00","Financials","B00JQL9","US82669G1040","NASDAQ"
"CZR","CAESARS ENTERTAINMENT CORP","Equity","0.40","13.25","16,020,746.00","212,274,884.50","212,274,884.50","Consumer Discretionary","B3TDL41","US1276861036","NASDAQ"
"HRC","HILL ROM HOLDINGS INC","Equity","0.40","109.78","1,926,025.00","211,439,024.50","211,439,024.50","Health Care","2425924","US4314751029","New York Stock Exchange Inc."
"ATR","APTARGROUP INC","Equity","0.40","114.32","1,846,064.00","211,042,036.48","211,042,036.48","Materials","2045247","US0383361039","New York Stock Exchange Inc."
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.40","85.02","2,477,797.00","210,662,300.94","210,662,300.94","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"POST","POST HOLDINGS INC","Equity","0.40","106.26","1,979,876.00","210,381,623.76","210,381,623.76","Consumer Staples","B6T0518","US7374461041","New York Stock Exchange Inc."
"GNTX","GENTEX CORP","Equity","0.40","28.59","7,344,241.00","209,971,850.19","209,971,850.19","Consumer Discretionary","2366799","US3719011096","NASDAQ"
"DCI","DONALDSON INC","Equity","0.40","56.79","3,676,130.00","208,767,422.70","208,767,422.70","Industrials","2276467","US2576511099","New York Stock Exchange Inc."
"CRL","CHARLES RIVER LABORATORIES INTERNA","Equity","0.40","147.71","1,406,922.00","207,816,448.62","207,816,448.62","Health Care","2604336","US1598641074","New York Stock Exchange Inc."
"MPWR","MONOLITHIC POWER SYSTEMS INC","Equity","0.39","177.23","1,159,307.00","205,463,979.61","205,463,979.61","Information Technology","B01Z7J1","US6098391054","NASDAQ"
"OC","OWENS CORNING","Equity","0.39","65.20","3,136,068.00","204,471,633.60","204,471,633.60","Industrials","B1FW7Q2","US6907421019","New York Stock Exchange Inc."
"ARW","ARROW ELECTRONICS INC","Equity","0.39","84.99","2,396,617.00","203,688,478.83","203,688,478.83","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
