Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Equity","0.81","65.38","5,876,404.00","384,199,293.52","384,199,293.52","Health Care","BYQBFJ8","US04280A1007","NASDAQ"
"MDCO","MEDICINES","Equity","0.81","84.35","4,550,608.00","383,843,784.80","383,843,784.80","Health Care","2616773","US5846881051","NASDAQ"
"DAR","DARLING INGREDIENTS INC","Equity","0.54","25.19","10,167,955.00","256,130,786.45","256,130,786.45","Consumer Staples","2250289","US2372661015","New York Stock Exchange Inc."
"LHCG","LHC GROUP INC","Equity","0.51","131.72","1,828,235.00","240,815,114.20","240,815,114.20","Health Care","B06DT50","US50187A1079","NASDAQ"
"GBCI","GLACIER BANCORP INC","Equity","0.50","45.35","5,288,024.00","239,811,888.40","239,811,888.40","Financials","2370585","US37637Q1058","NASDAQ"
"BLD","TOPBUILD CORP","Equity","0.47","105.23","2,116,667.00","222,736,868.41","222,736,868.41","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.47","113.24","1,956,085.00","221,507,065.40","221,507,065.40","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"NEOG","NEOGEN CORP","Equity","0.46","68.25","3,234,851.00","220,778,580.75","220,778,580.75","Health Care","2630085","US6404911066","NASDAQ"
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.46","70.31","3,103,366.00","218,197,663.46","218,197,663.46","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"RH","RH","Equity","0.46","220.50","987,225.00","217,683,112.50","217,683,112.50","Consumer Discretionary","BYXR425","US74967X1037","New York Stock Exchange Inc."
"EXPO","EXPONENT INC","Equity","0.45","67.24","3,206,107.00","215,578,634.68","215,578,634.68","Industrials","2330318","US30214U1025","NASDAQ"
"LAD","LITHIA MOTORS INC CLASS A","Equity","0.45","154.16","1,383,893.00","213,340,944.88","213,340,944.88","Consumer Discretionary","2515030","US5367971034","New York Stock Exchange Inc."
"VIAV","VIAVI SOLUTIONS INC","Equity","0.45","15.03","14,120,840.00","212,236,225.20","212,236,225.20","Information Technology","BYXB201","US9255501051","NASDAQ"
"BCPC","BALCHEM CORP","Equity","0.43","103.36","1,998,482.00","206,563,099.52","206,563,099.52","Materials","2072074","US0576652004","NASDAQ"
"OMCL","OMNICELL INC","Equity","0.43","80.18","2,572,491.00","206,262,328.38","206,262,328.38","Health Care","2789523","US68213N1090","NASDAQ"
"SHOO","STEVEN MADDEN LTD","Equity","0.43","42.45","4,821,579.00","204,676,028.55","204,676,028.55","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.43","45.26","4,470,594.00","202,339,084.44","202,339,084.44","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"STRA","STRATEGIC EDUCATION INC","Equity","0.42","148.44","1,355,808.00","201,256,139.52","201,256,139.52","Consumer Discretionary","BGGJFV8","US86272C1036","NASDAQ"
"UNF","UNIFIRST CORP","Equity","0.42","211.60","948,513.00","200,705,350.80","200,705,350.80","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"SKYW","SKYWEST INC","Equity","0.42","63.06","3,144,955.00","198,320,862.30","198,320,862.30","Industrials","2814210","US8308791024","NASDAQ"
"AVA","AVISTA CORP","Equity","0.42","48.60","4,078,284.00","198,204,602.40","198,204,602.40","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"AWR","AMERICAN STATES WATER","Equity","0.41","86.43","2,275,026.00","196,630,497.18","196,630,497.18","Utilities","2267171","US0298991011","New York Stock Exchange Inc."
"CNMD","CONMED CORP","Equity","0.41","111.92","1,747,654.00","195,597,435.68","195,597,435.68","Health Care","2216010","US2074101013","NASDAQ"
"SSD","SIMPSON MANUFACTURING INC","Equity","0.41","77.62","2,511,041.00","194,907,002.42","194,907,002.42","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"ONB","OLD NATIONAL BANCORP","Equity","0.40","18.45","10,290,810.00","189,916,898.55","189,916,898.55","Financials","2658441","US6800331075","NASDAQ"
"B","BARNES GROUP INC","Equity","0.38","62.10","2,939,757.00","182,558,909.70","182,558,909.70","Industrials","2080732","US0678061096","New York Stock Exchange Inc."
"SJI","S JERSEY INDS INC","Equity","0.38","31.82","5,708,597.00","181,647,556.54","181,647,556.54","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"ITRI","ITRON INC","Equity","0.38","83.66","2,169,732.00","181,519,779.12","181,519,779.12","Information Technology","2471949","US4657411066","NASDAQ"
"INDB","INDEPENDENT BANK CORP","Equity","0.38","85.61","2,105,771.00","180,275,055.31","180,275,055.31","Financials","2447821","US4538361084","NASDAQ"
"CVBF","CVB FINANCIAL CORP","Equity","0.38","21.85","8,224,395.00","179,703,030.75","179,703,030.75","Financials","2160645","US1266001056","NASDAQ"
"ABCB","AMERIS BANCORP","Equity","0.38","44.57","4,030,398.00","179,634,838.86","179,634,838.86","Financials","2038849","US03076K1088","NASDAQ"
"ADC","AGREE REALTY REIT CORP","Equity","0.38","68.93","2,592,992.00","178,734,938.56","178,734,938.56","Real Estate","2062161","US0084921008","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","0.37","88.78","2,008,297.00","178,296,607.66","178,296,607.66","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"BRKS","BROOKS AUTOMATION INC","Equity","0.37","39.87","4,461,685.00","177,887,380.95","177,887,380.95","Information Technology","2145460","US1143401024","NASDAQ"
"QLYS","QUALYS INC","Equity","0.37","84.96","2,085,168.00","177,155,873.28","177,155,873.28","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"UFPI","UNIVERSAL FOREST PRODUCTS INC","Equity","0.37","48.19","3,664,802.00","176,606,808.38","176,606,808.38","Industrials","2906496","US9135431040","NASDAQ"
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","0.37","40.47","4,357,302.00","176,318,225.43","176,318,225.43","Financials","2176608","US1972361026","NASDAQ"
"BRC","BRADY NONVOTING CORP CLASS A","Equity","0.37","57.34","3,056,239.00","175,244,744.26","175,244,744.26","Industrials","2117726","US1046741062","New York Stock Exchange Inc."
"NEO","NEOGENOMICS INC","Equity","0.36","26.79","6,418,386.00","171,948,560.94","171,948,560.94","Health Care","2598246","US64049M2098","NASDAQ"
